username,likes,comment,publishedAt,updatedAt,viewerRating,parentId,comment_id,word_count,cleaned_comment,topic_nmf,topic_kmeans,topic_word2vec_kmeans,sentiment,sentiment_vader
@SkyRied1,0,"""It's not our fault. It's the fault of those WWII US soldiers who loved Hershey so much. 😢""",2024-11-14T16:29:26Z,2024-11-14T16:29:26Z,none,,0,18,fault fault wwii u soldier loved hershey much,2,1,8,0.44999999999999996,0.8134
@4ourthLetta2010,0,"That's why my wife has always said, ""ack!!  Yuck!!  This tastes like cheap chocolate.  Now it all makes more sense",2024-11-12T16:08:14Z,2024-11-12T16:08:14Z,none,,1,20,wife always said ack yuck taste cheap chocolate make sense,1,6,0,0.45,0.5673
@ctid107,0,I was in San Francisco with a group of other Irish lads on St. Patrick's day. At the parade one of us got a load of Hershey bars and we tried them together. I'll never forget the look of horror from the locals as we all spat them out into the nearest bin!,2024-11-07T10:48:48Z,2024-11-07T10:48:48Z,none,,2,53,san francisco group irish lad st patrick day parade one u got load hershey bar tried together never forget look horror local spat nearest bin,2,5,0,-0.14583333333333334,-0.5149
@vicky26pen,0,"US chocolates taste too chemical, some weird oily stuff oozes out.",2024-09-22T08:06:08Z,2024-09-22T08:06:08Z,none,,3,11,u chocolate taste chemical weird oily stuff ooze,1,6,0,-0.35,-0.1779
@healingandgrowth-infp4677,0,everyone is arguing over the chocolates and countries but the best chocolate is the one you make at home yourself with raw organic pure ingredients,2024-09-20T01:57:27Z,2024-09-20T01:57:27Z,none,,4,25,everyone arguing chocolate country best chocolate one make home raw organic pure ingredient,0,8,0,0.32783882783882784,0.7003
@I-HAVE-A-BOMB,0,Cadbury isnt as bad but still tastes way to sweet and cheap. I live in Canada now but even here Cadbury is seen as cheap and Herseys seen as vomit gross yuck bars. Lindt is king.,2024-09-18T14:48:11Z,2024-09-18T14:48:11Z,none,,5,36,cadbury isnt bad still taste way sweet cheap live canada even cadbury seen cheap herseys seen vomit gross yuck bar lindt king,8,3,0,0.09772727272727276,0.1962
@TheRailwayGuy175,0,"Although I am not American, I like American chocolate.",2024-09-16T12:02:16Z,2024-09-16T12:02:16Z,none,,6,9,american american chocolate,4,2,5,0.0,-0.2755
@theFreezerFlame,1,"I actually prefer American chocolate because of that slight sourness. It provides a counterbalance to the overpowering sweetness present in Euro chocolate and it doesn't make me want to vomit.

Who knew that a vomit chemical acts as a vomit deterrent?",2024-09-07T18:28:20Z,2024-09-07T18:28:20Z,none,,7,41,actually prefer american chocolate slight sourness provides counterbalance overpowering sweetness present euro chocolate make want vomit knew vomit chemical act vomit deterrent,6,7,0,-0.041666666666666664,0.4548
@dee-exotica,0,So European chocolate have REAL ingredients and american chocolate have vomit in it. Got it!,2024-08-31T17:47:42Z,2024-08-31T17:47:42Z,none,,8,15,european chocolate real ingredient american chocolate vomit got,6,7,6,0.06666666666666667,0.0
@bloemkoolendestreetgang450,0,"What i find so baffling is that when American chocolate is discussed, it seems to be almost exclusively about Hersheys. Do you guys not have other chocolate lmao?? Even MrBeast brands his chocolate as “better than Hersheys” so it seems like that is the only chocolate you have, or the best one you have at least.",2024-07-29T10:48:07Z,2024-07-29T10:48:07Z,none,,9,56,find baffling american chocolate discussed seems almost exclusively hershey guy chocolate lmao even mrbeast brand chocolate better hershey seems chocolate best one least,0,8,8,0.2392857142857143,0.9047
